ID,File,Category,Line,Context,English Text,Translation,Notes
1,home.py,Titles Headers,12,title,About,,
2,home.py,Titles Headers,18,title,Epistem land cover mapping platform demo,,
3,home.py,Titles Headers,26,header,Instructions,,
4,home.py,Markdown Content,7,markdown variable,"An working example module 1 and 3 of Epistem land cover mapping platform. Adapted from:
<https://github.com/opengeos/streamlit-map-template>",,
5,home.py,Markdown Content,20,markdown,"This multipage platform aims to demonstrate a working example of epistem's first module, aim to generate a Landsat imagery for certain area of interest.",,
6,home.py,Markdown Content,28,markdown variable,"1. Define the area of interest by drawing a rectangle on the map or upload a shapefile (zip).
2. Specified the acqusition year of date. If you just type the year, the map will automatically filtered image from January 1 all the way to December 31.
3. Specified the cloud cover percentage and sensor type (currently support Landsat 5 TM - Landsat 9 OLI2).
4. click run to generate the mosaic image.",,
7,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,15,title,Search and Generate Landsat Image Mosaic,,
8,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,22,title,About,,
9,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,41,subheader,Upload Area of Interest (Shapefile),,
10,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,103,subheader,Specify Imagery Search Criteria,,
11,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,133,subheader,Select Time Period,,
12,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,250,subheader,Export Mosaic to Google Drive,,
13,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,342,subheader,Module Navigation,,
14,1_Module_1_Generate_Image_Mosaic.py,Messages,66,error,No .shp file found in the uploaded zip.,,
15,1_Module_1_Generate_Image_Mosaic.py,Messages,71,success,Shapefile loaded successfully!,,
16,1_Module_1_Generate_Image_Mosaic.py,Messages,82,success,AOI conversion completed!,,
17,1_Module_1_Generate_Image_Mosaic.py,Messages,93,error,Failed to convert AOI to Google Earth Engine format,,
18,1_Module_1_Generate_Image_Mosaic.py,Messages,95,error,Geometry validation failed,,
19,1_Module_1_Generate_Image_Mosaic.py,Messages,98,error (f-string part),Error reading shapefile:,,
20,1_Module_1_Generate_Image_Mosaic.py,Messages,99,info,"Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)",,
21,1_Module_1_Generate_Image_Mosaic.py,Messages,177,success (f-string part),Found,,
22,1_Module_1_Generate_Image_Mosaic.py,Messages,177,success (f-string part),images.,,
23,1_Module_1_Generate_Image_Mosaic.py,Messages,189,error (f-string part),Failed to query collection size:,,
24,1_Module_1_Generate_Image_Mosaic.py,Messages,194,warning,"No images found for the selected criteria, increase cloud cover threshold or change the date range.",,
25,1_Module_1_Generate_Image_Mosaic.py,Messages,246,info,Upload an AOI and specify search criteria to begin.,,
26,1_Module_1_Generate_Image_Mosaic.py,Messages,325,success (f-string part),✅ Export task ',,
27,1_Module_1_Generate_Image_Mosaic.py,Messages,325,success (f-string part),' submitted successfully!,,
28,1_Module_1_Generate_Image_Mosaic.py,Messages,326,info (f-string part),Task ID:,,
29,1_Module_1_Generate_Image_Mosaic.py,Messages,336,error (f-string part),Export failed:,,
30,1_Module_1_Generate_Image_Mosaic.py,Messages,337,info,Debugging info:,,
31,1_Module_1_Generate_Image_Mosaic.py,Messages,348,info,Please Generate an imagery mosaic before proceeding,,
32,1_Module_1_Generate_Image_Mosaic.py,Labels,43,file_uploader,Upload a zipped shapefile (.zip),,
33,1_Module_1_Generate_Image_Mosaic.py,Labels,129,selectbox,Select Landsat Sensor:,,
34,1_Module_1_Generate_Image_Mosaic.py,Labels,135,radio,Choose date selection mode:,,
35,1_Module_1_Generate_Image_Mosaic.py,Labels,146,selectbox,Select Year,,
36,1_Module_1_Generate_Image_Mosaic.py,Labels,154,date_input,Start Date:,,
37,1_Module_1_Generate_Image_Mosaic.py,Labels,155,date_input,End Date:,,
38,1_Module_1_Generate_Image_Mosaic.py,Labels,160,slider,Maximum Cloud Cover (%):,,
39,1_Module_1_Generate_Image_Mosaic.py,Labels,163,button,Search Landsat Imagery,,
40,1_Module_1_Generate_Image_Mosaic.py,Labels,256,text_input,Export Filename:,,
41,1_Module_1_Generate_Image_Mosaic.py,Labels,261,text_input,Google Drive Folder:,,
42,1_Module_1_Generate_Image_Mosaic.py,Labels,271,selectbox,Coordinate Reference System:,,
43,1_Module_1_Generate_Image_Mosaic.py,Labels,277,text_input,Enter EPSG Code:,,
44,1_Module_1_Generate_Image_Mosaic.py,Labels,284,number_input,Pixel Size (meters):,,
45,1_Module_1_Generate_Image_Mosaic.py,Labels,290,button,Start Export to Google Drive,,
46,1_Module_1_Generate_Image_Mosaic.py,Labels,344,button,Go to Module 2: Classification Scheme,,
47,1_Module_1_Generate_Image_Mosaic.py,Labels,347,button,🔒 Complete Module 1 First,,
48,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,18,markdown variable,This module allows users to search and generate a Landsat image mosaic for a specified area of interest (AOI) and time range using Google Earth Engine (GEE) data.,,
49,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,42,markdown,currently the platform only support shapefile in .zip format,,
50,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,106,markdown,1. Landsat 1 Multispectral Scanner/MSS (1972 - 1978),,
51,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,107,markdown,2. Landsat 2 Multispectral Scanner/MSS (1978 - 1982),,
52,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,108,markdown,3. Landsat 3 Multispectral Scanner/MSS (1978 - 1983),,
53,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,109,markdown,3. Landsat 4 Thematic Mapper/TM (1982 - 1993),,
54,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,110,markdown,4. Landsat 5 Thematic Mapper/TM (1984 - 2012),,
55,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,111,markdown,5. Landsat 7 Enhanced Thematic Mapper Plus/ETM+ (1999 - 2021),,
56,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,112,markdown,6. Landsat 8 Operational Land Imager/OLI (2013 - present),,
57,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,113,markdown,7. Landsat 9 Operational Land Imager-2/OLI-2 (2021 - present),,
58,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,134,markdown,"If 'select by year' is choosen, the system automatically search imagery from January 1 untill December 31",,
59,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,327,markdown (f-string part),"**Export Details:**
                    - File location: Google Drive/",,
60,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,327,markdown (f-string part),".tif
                    - CRS:",,
61,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,327,markdown (f-string part),- Resolution:,,
62,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,327,markdown (f-string part),"m
                    
                    Check progress in the [Earth Engine Task Manager](https://code.earthengine.google.com/tasks)",,
63,1_Module_1_Generate_Image_Mosaic.py,Help Text,256,text_input.help,The output will be saved as GeoTIFF (.tif),,
64,1_Module_1_Generate_Image_Mosaic.py,Help Text,261,text_input.help,Google Drive Folder to stored the result,,
65,1_Module_1_Generate_Image_Mosaic.py,Help Text,277,text_input.help,Example: 3278 (UTM Zone 48S),,
66,1_Module_1_Generate_Image_Mosaic.py,Other Ui Text,87,text,Area of interest preview:,,
67,1_Module_1_Generate_Image_Mosaic.py,Other Ui Text,104,text,"Enter the acquisition date range, cloud cover percentage, and Landsat mission type. Current platform support Landsat 1-4 at sensor radiance and Landsat 5-9 Collection 2 Surface Reflectance Analysis Ready Data (ARD), excluding the thermal bands. Landsat mission avaliability is as follows:",,
68,1_Module_1_Generate_Image_Mosaic.py,Other Ui Text,191,write (f-string part),Collection size:,,
69,1_Module_1_Generate_Image_Mosaic.py,Other Ui Text,338,write (f-string part),AOI type:,,
70,1_Module_1_Generate_Image_Mosaic.py,Other Ui Text,339,write (f-string part),Composite exists:,,
71,2_Module_2_Classification_scheme.py,Titles Headers,4,title,Define Land Cover Land Use Classification Scheme,,
72,2_Module_2_Classification_scheme.py,Titles Headers,16,title,About,,
73,2_Module_2_Classification_scheme.py,Titles Headers,27,subheader,Add a new class,,
74,2_Module_2_Classification_scheme.py,Titles Headers,66,subheader,Classification Scheme,,
75,2_Module_2_Classification_scheme.py,Titles Headers,93,subheader,Module Navigation,,
76,2_Module_2_Classification_scheme.py,Messages,42,warning,Please fill in all fields.,,
77,2_Module_2_Classification_scheme.py,Messages,88,info,No classes added yet. Please add at least one class.,,
78,2_Module_2_Classification_scheme.py,Messages,117,success (f-string part),✅ Classification scheme completed with,,
79,2_Module_2_Classification_scheme.py,Messages,117,success (f-string part),classes,,
80,2_Module_2_Classification_scheme.py,Messages,119,info,Add at least one class to complete this module,,
81,2_Module_2_Classification_scheme.py,Labels,30,text_input,Class ID,,
82,2_Module_2_Classification_scheme.py,Labels,31,text_input,Class Name,,
83,2_Module_2_Classification_scheme.py,Labels,32,color_picker,Color Code,,
84,2_Module_2_Classification_scheme.py,Labels,33,form_submit_button,Add Class,,
85,2_Module_2_Classification_scheme.py,Labels,49,text_input,Edit Class ID,,
86,2_Module_2_Classification_scheme.py,Labels,50,text_input,Edit Class Name,,
87,2_Module_2_Classification_scheme.py,Labels,51,color_picker,Edit Color Code,,
88,2_Module_2_Classification_scheme.py,Labels,52,form_submit_button,Save Changes,,
89,2_Module_2_Classification_scheme.py,Labels,53,form_submit_button,Cancel,,
90,2_Module_2_Classification_scheme.py,Labels,72,button,Edit,,
91,2_Module_2_Classification_scheme.py,Labels,74,button,Delete,,
92,2_Module_2_Classification_scheme.py,Labels,81,download_button.label,Download Classification Scheme as CSV,,
93,2_Module_2_Classification_scheme.py,Labels,103,button,⬅️ Back to Module 1: Generate Mosaic,,
94,2_Module_2_Classification_scheme.py,Labels,109,button,➡️ Go to Module 3-4: Training Data Analysis,,
95,2_Module_2_Classification_scheme.py,Labels,112,button,🔒 Complete Module 2 First,,
96,2_Module_2_Classification_scheme.py,Markdown Content,7,markdown variable,"In this module, users can define their own land cover land use (LCLU) classification scheme by specifying unique class ID, names and corresponding color codes. The defined scheme can be saved as a CSV file for future use in land cover classification tasks.",,
97,2_Module_2_Classification_scheme.py,Markdown Content,11,markdown,"User must define the desired land cover land use classification scheme. The class ID is a unique identifier for each land cover type, the class name is a descriptive label, and the color code is used for visual representation on maps. Users can add multiple classes, edit existing ones, and delete any unnecessary entries. Once the classification scheme is finalized, it can be downloaded as a CSV file for easy integration into other modules",,
98,2_Module_2_Classification_scheme.py,Help Text,112,button.help,Please add at least one class to the classification scheme,,
99,3_Module_3-4_Analyze_ROI.py,Titles Headers,16,title,Analzye the Separability of Region of Interest (ROI),,
100,3_Module_3-4_Analyze_ROI.py,Titles Headers,29,title,About,,
101,3_Module_3-4_Analyze_ROI.py,Titles Headers,63,subheader,A. Upload Region of Interest (Shapefile),,
102,3_Module_3-4_Analyze_ROI.py,Titles Headers,129,subheader,B. Perform Separability Analysis,,
103,3_Module_3-4_Analyze_ROI.py,Titles Headers,150,subheader,Analysis Parameters,,
104,3_Module_3-4_Analyze_ROI.py,Titles Headers,246,subheader,C. Analysis Results,,
105,3_Module_3-4_Analyze_ROI.py,Titles Headers,318,subheader,Module Navigation,,
106,3_Module_3-4_Analyze_ROI.py,Messages,37,success,Landsat mosaic available from Module 1!,,
107,3_Module_3-4_Analyze_ROI.py,Messages,59,warning,Landsat mosaic not found. Please run Module 1 first.,,
108,3_Module_3-4_Analyze_ROI.py,Messages,87,error,No .shp file found in the uploaded zip.,,
109,3_Module_3-4_Analyze_ROI.py,Messages,92,success,ROI loaded successfully!,,
110,3_Module_3-4_Analyze_ROI.py,Messages,105,success,ROI conversion completed!,,
111,3_Module_3-4_Analyze_ROI.py,Messages,117,error,Failed to convert ROI to Google Earth Engine format,,
112,3_Module_3-4_Analyze_ROI.py,Messages,119,error,Geometry validation failed,,
113,3_Module_3-4_Analyze_ROI.py,Messages,122,error (f-string part),Error reading shapefile:,,
114,3_Module_3-4_Analyze_ROI.py,Messages,123,info,"Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)",,
115,3_Module_3-4_Analyze_ROI.py,Messages,162,error,Please upload a valid ROI shapefile first.,,
116,3_Module_3-4_Analyze_ROI.py,Messages,200,error,No spectral data was extracted. Please check your training data and image overlap.,,
117,3_Module_3-4_Analyze_ROI.py,Messages,239,success,Separability analysis completed successfully!,,
118,3_Module_3-4_Analyze_ROI.py,Messages,241,error (f-string part),Error during analysis:,,
119,3_Module_3-4_Analyze_ROI.py,Messages,293,success (f-string part),Excellent!,,
120,3_Module_3-4_Analyze_ROI.py,Messages,293,success (f-string part),% of class pairs have good separability,,
121,3_Module_3-4_Analyze_ROI.py,Messages,295,warning (f-string part),Moderate:,,
122,3_Module_3-4_Analyze_ROI.py,Messages,297,error (f-string part),Poor: Only,,
123,3_Module_3-4_Analyze_ROI.py,Messages,342,success (f-string part),✅ Classification scheme completed with,,
124,3_Module_3-4_Analyze_ROI.py,Messages,342,success (f-string part),classes,,
125,3_Module_3-4_Analyze_ROI.py,Messages,344,info,Add at least one class to complete this module,,
126,3_Module_3-4_Analyze_ROI.py,Labels,43,metric,Total Images,,
127,3_Module_3-4_Analyze_ROI.py,Labels,45,metric,Date Range,,
128,3_Module_3-4_Analyze_ROI.py,Labels,47,metric,Average Scene Cloud Cover,,
129,3_Module_3-4_Analyze_ROI.py,Labels,49,checkbox,Preview Landsat Mosaic,,
130,3_Module_3-4_Analyze_ROI.py,Labels,65,file_uploader,Upload a zipped shapefile (.zip),,
131,3_Module_3-4_Analyze_ROI.py,Labels,133,selectbox,"Select the field containing numeric class IDs, (example: 1, 2, 3, 4, etc):",,
132,3_Module_3-4_Analyze_ROI.py,Labels,140,selectbox,"Select the field containing class names, (example: Forest, Water, Urban, etc.):",,
133,3_Module_3-4_Analyze_ROI.py,Labels,151,radio,Select separability method:,,
134,3_Module_3-4_Analyze_ROI.py,Labels,154,number_input,Spatial resolution (meters):,,
135,3_Module_3-4_Analyze_ROI.py,Labels,156,number_input,Maximum pixels per class:,,
136,3_Module_3-4_Analyze_ROI.py,Labels,160,button,Run Separability Analysis,,
137,3_Module_3-4_Analyze_ROI.py,Labels,252,metric,Total Samples,,
138,3_Module_3-4_Analyze_ROI.py,Labels,255,metric,Number of classess,,
139,3_Module_3-4_Analyze_ROI.py,Labels,259,metric,Total Pixels Extracted,,
140,3_Module_3-4_Analyze_ROI.py,Labels,263,metric,Method,,
141,3_Module_3-4_Analyze_ROI.py,Labels,328,button,⬅️ Back to Module 2: Classification Scheme,,
142,3_Module_3-4_Analyze_ROI.py,Labels,334,button,➡️ Go to Module 4: Classification,,
143,3_Module_3-4_Analyze_ROI.py,Labels,337,button,🔒 Complete Module 3 First,,
144,3_Module_3-4_Analyze_ROI.py,Markdown Content,18,markdown,"This module allow the user to perform separability analysis between the class in the region of interest (ROI). Prior to the analysis, the user must upload the ROI data in shapefile format. This data should contain unique the class ID and corresponding class names. After the ROI is uploaded, user can perform separability analysis using the following steps:",,
145,3_Module_3-4_Analyze_ROI.py,Markdown Content,21,markdown,1. Define the training data attributes (class ID and class names),,
146,3_Module_3-4_Analyze_ROI.py,Markdown Content,22,markdown,"2. Select separability parameters, which consist of selecting separability methods, spatial resolution, and maximum pixel per class. The platform support two methods, Jeffries-Matusita (JM) and Transformed Divergence (TD)",,
147,3_Module_3-4_Analyze_ROI.py,Markdown Content,25,markdown variable,This module is designed to perform separability analysis of the training data.,,
148,3_Module_3-4_Analyze_ROI.py,Markdown Content,34,markdown,Availability of landsat data from module 1,,
149,3_Module_3-4_Analyze_ROI.py,Markdown Content,64,markdown,currently the platform only support shapefile in .zip format,,
150,3_Module_3-4_Analyze_ROI.py,Markdown Content,95,markdown,ROI table preview:,,
151,3_Module_3-4_Analyze_ROI.py,Markdown Content,130,markdown,Select the appropriate fields from your ROI that correspond to numeric class IDs and class names.,,
152,3_Module_3-4_Analyze_ROI.py,Markdown Content,310,markdown,*These class pairs have the lowest separability and may cause classification confusion:*,,
153,3_Module_3-4_Analyze_ROI.py,Help Text,151,radio.help,"JM = Jeffries-Matusita Distance, TD = Transformed Divergence",,
154,3_Module_3-4_Analyze_ROI.py,Help Text,154,number_input.help,Higher values = lower resolution but faster processing,,
155,3_Module_3-4_Analyze_ROI.py,Help Text,156,number_input.help,Lower values = faster processing but less representative sampling,,
156,3_Module_3-4_Analyze_ROI.py,Help Text,337,button.help,Please add at least one class to the classification scheme,,
157,3_Module_3-4_Analyze_ROI.py,Other Ui Text,111,text,Region of Interest distribution:,,
158,3_Module_3-4_Analyze_ROI.py,Other Ui Text,172,text,Step 1/5: Initializing analyzer...,,
159,3_Module_3-4_Analyze_ROI.py,Other Ui Text,185,text,Step 2/5: Computing ROI statistics...,,
160,3_Module_3-4_Analyze_ROI.py,Other Ui Text,191,text,Step 3/5: Extracting spectral values... (This may take a few minutes),,
161,3_Module_3-4_Analyze_ROI.py,Other Ui Text,214,text,🔍 Step 4/5: Computing pixel statistics...,,
162,3_Module_3-4_Analyze_ROI.py,Other Ui Text,227,text,Step 5/5: Running separability analysis...,,
163,3_Module_3-4_Analyze_ROI.py,Other Ui Text,238,text,Analysis complete!,,
164,3_Module_3-4_Analyze_ROI.py,Other Ui Text,242,write,"Please check your ROI and analysis parameters, then try again.",,
165,3_Module_3-4_Analyze_ROI.py,Other Ui Text,271,write,No sample statistics available,,
166,3_Module_3-4_Analyze_ROI.py,Other Ui Text,277,write,No pixel statistics available,,
167,3_Module_3-4_Analyze_ROI.py,Other Ui Text,299,write,No separability summary available,,
168,3_Module_3-4_Analyze_ROI.py,Other Ui Text,305,write,No detailed separability results available,,
169,3_Module_3-4_Analyze_ROI.py,Other Ui Text,313,write,No problematic pairs data available,,
